Change Attribute Type,Change Package,Change Parameter Type,Change Return Type,Change Variable Type,Extract And Move Method,Extract Attribute,Extract Class,Extract Interface,Extract Method,Extract Subclass,Extract Superclass,Extract Variable,Inline Method,Inline Variable,Merge Parameter,Merge Variable,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move And Rename Method,Move Attribute,Move Class,Move Method,Move Source Folder,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable,Replace Attribute,Replace Variable With Attribute,Split Parameter,Split Variable,Commit Count,Refactoring Type
7314.0,4089.0,7768.0,6945.0,6771.0,1029.0,362.0,2192.0,1091.0,3030.0,353.0,1399.0,2188.0,1147.0,767.0,183.0,81.0,324.0,26.0,3930.0,856.0,2643.0,12003.0,3170.0,92562.0,444.0,771.0,1005.0,346.0,523.0,4283.0,4892.0,4801.0,5428.0,4511.0,41.0,581.0,63.0,25.0,92562,Move Source Folder
19508.0,753.0,26115.0,21817.0,35098.0,7912.0,2276.0,4138.0,1418.0,66159.0,706.0,2928.0,15047.0,6856.0,8115.0,1248.0,1186.0,2503.0,128.0,3193.0,3663.0,7296.0,5533.0,7895.0,444.0,91186.0,2130.0,2883.0,1037.0,1322.0,17020.0,6773.0,25714.0,32516.0,35470.0,143.0,4632.0,975.0,245.0,91186,Parameterize Variable
24357.0,1242.0,27926.0,25382.0,21920.0,9920.0,1631.0,8131.0,5462.0,17872.0,1432.0,49827.0,9253.0,5656.0,3535.0,898.0,433.0,3289.0,1307.0,6830.0,7497.0,14685.0,15211.0,15978.0,771.0,2130.0,88256.0,62785.0,2088.0,2742.0,17438.0,11394.0,23902.0,25030.0,16201.0,928.0,2928.0,209.0,75.0,88256,Pull Up Attribute
31981.0,1621.0,39372.0,36399.0,29486.0,12764.0,2015.0,10701.0,6377.0,24951.0,2078.0,63683.0,12516.0,8036.0,5015.0,1174.0,626.0,4542.0,1268.0,9219.0,10443.0,16531.0,19282.0,23007.0,1005.0,2883.0,62785.0,122193.0,2752.0,4555.0,22503.0,15644.0,34701.0,36715.0,22339.0,893.0,3398.0,310.0,106.0,122193,Pull Up Method
13480.0,598.0,14091.0,12775.0,11747.0,3653.0,629.0,4988.0,1590.0,7339.0,21275.0,5602.0,3957.0,2639.0,1625.0,433.0,192.0,1877.0,123.0,3240.0,3791.0,7480.0,7177.0,7505.0,346.0,1037.0,2088.0,2752.0,36798.0,27450.0,8441.0,5459.0,9877.0,11528.0,7329.0,182.0,1391.0,196.0,34.0,36798,Push Down Attribute
17881.0,882.0,20148.0,18697.0,16029.0,4876.0,752.0,6882.0,2391.0,10157.0,25833.0,8050.0,5750.0,3742.0,2308.0,544.0,279.0,2491.0,173.0,4441.0,5443.0,9066.0,9506.0,11226.0,523.0,1322.0,2742.0,4555.0,27450.0,51269.0,11066.0,7766.0,14945.0,16900.0,10269.0,213.0,1680.0,211.0,74.0,51269,Push Down Method
359998.0,10943.0,249350.0,187732.0,186674.0,48077.0,15616.0,48222.0,14325.0,134221.0,6305.0,24451.0,81750.0,42706.0,29725.0,7549.0,4427.0,19046.0,2366.0,46373.0,32960.0,91860.0,65466.0,76695.0,4283.0,17020.0,17438.0,22503.0,8441.0,11066.0,768352.0,115803.0,291461.0,330585.0,208629.0,1596.0,29997.0,2099.0,1228.0,768352,Rename Attribute
184241.0,6709.0,164779.0,155983.0,157065.0,16892.0,5454.0,24802.0,12835.0,52059.0,5322.0,21526.0,32291.0,18043.0,12807.0,3116.0,1739.0,7111.0,857.0,34957.0,16831.0,36377.0,45552.0,40163.0,4892.0,6773.0,11394.0,15644.0,5459.0,7766.0,115803.0,393248.0,119404.0,110938.0,92246.0,763.0,10294.0,903.0,415.0,393248,Rename Class
245511.0,11212.0,269174.0,295991.0,222678.0,61157.0,15968.0,44657.0,18093.0,186994.0,7737.0,36417.0,98490.0,61333.0,37454.0,8492.0,5254.0,24189.0,2030.0,47219.0,41732.0,81133.0,70946.0,86293.0,4801.0,25714.0,23902.0,34701.0,9877.0,14945.0,291461.0,119404.0,972918.0,330540.0,239589.0,1707.0,32302.0,2814.0,1206.0,972918,Rename Method
296770.0,11546.0,457451.0,251931.0,241978.0,58987.0,15906.0,55205.0,17956.0,183841.0,9067.0,35815.0,103449.0,57175.0,40742.0,11720.0,7053.0,23793.0,2290.0,49158.0,50909.0,95678.0,75975.0,103867.0,5428.0,32516.0,25030.0,36715.0,11528.0,16900.0,330585.0,110938.0,330540.0,927837.0,271474.0,1860.0,29956.0,3443.0,1616.0,927837,Rename Parameter
217984.0,9049.0,222012.0,220264.0,426709.0,57311.0,17640.0,37210.0,11645.0,211683.0,5441.0,23146.0,130374.0,60806.0,53536.0,8122.0,8121.0,20606.0,1612.0,37802.0,31785.0,67406.0,56586.0,70463.0,4511.0,35470.0,16201.0,22339.0,7329.0,10269.0,208629.0,92246.0,239589.0,271474.0,916797.0,1407.0,32107.0,2546.0,1749.0,916797,Rename Variable
1818.0,78.0,1751.0,1491.0,1549.0,767.0,233.0,599.0,169.0,1271.0,100.0,721.0,888.0,577.0,295.0,103.0,39.0,296.0,244.0,452.0,422.0,1077.0,745.0,1022.0,41.0,143.0,928.0,893.0,182.0,213.0,1596.0,763.0,1707.0,1860.0,1407.0,4793.0,336.0,41.0,13.0,4793,Replace Attribute
30750.0,1185.0,26363.0,24783.0,47618.0,10101.0,3812.0,6991.0,1978.0,37392.0,923.0,3641.0,16388.0,10319.0,8040.0,999.0,892.0,3540.0,511.0,4982.0,5641.0,14835.0,9195.0,12820.0,581.0,4632.0,2928.0,3398.0,1391.0,1680.0,29997.0,10294.0,32302.0,29956.0,32107.0,336.0,128189.0,384.0,130.0,128189,Replace Variable With Attribute
2552.0,161.0,3234.0,2499.0,2495.0,759.0,158.0,647.0,167.0,2490.0,118.0,297.0,1330.0,771.0,556.0,220.0,94.0,441.0,13.0,587.0,493.0,1176.0,838.0,1103.0,63.0,975.0,209.0,310.0,196.0,211.0,2099.0,903.0,2814.0,3443.0,2546.0,41.0,384.0,8230.0,72.0,8230,Split Parameter
1085.0,65.0,1133.0,1023.0,1322.0,259.0,62.0,247.0,77.0,884.0,36.0,122.0,662.0,320.0,267.0,62.0,67.0,106.0,3.0,190.0,145.0,406.0,308.0,364.0,25.0,245.0,75.0,106.0,34.0,74.0,1228.0,415.0,1206.0,1616.0,1749.0,13.0,130.0,72.0,3144.0,3144,Split Variable
