id,commits,exceptionsCount,gitUrl,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,refactoring,Refactorings_Count
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Merge Parameter,5
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Merge Variable,3
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move And Inline Method,10
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move And Rename Attribute,3
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move And Rename Class,86
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move And Rename Method,57
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move Attribute,164
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move Class,1950
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move Method,197
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Move Source Folder,2177
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Parameterize Variable,21
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Pull Up Attribute,63
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Pull Up Method,138
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Push Down Attribute,6
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Push Down Method,19
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Rename Attribute,241
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Rename Class,136
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Rename Method,578
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Rename Parameter,299
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Rename Variable,488
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Replace Variable With Attribute,14
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Split Parameter,2
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Split Variable,2
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Change Attribute Type,233
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Change Package,28
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Change Parameter Type,399
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Change Return Type,168
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Change Variable Type,244
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract And Move Method,17
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Attribute,3
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Class,28
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Interface,13
